lat, lon, alt, ozone, mq7, mq135_ppm, mq135_cor, bmp180_temp, bmp180_press, exectime
50.278949, 19.719646, 459.900000, 0.066000, 1343, 6261.705566, 6396.767090, 16.399566, 964.758637, 58.513102
50.278948, 19.719645, 459.890000, 0.064000, 1342, 6115.188965, 6396.767090, 16.386162, 964.720606, 59.531100
50.278948, 19.719645, 459.870000, 0.062000, 1343, 6261.705566, 6396.767090, 16.359350, 964.655473, 60.491112
50.278949, 19.719645, 459.820000, 0.061000, 1342, 6261.705566, 6472.897461, 16.386162, 964.669551, 61.512922
50.278949, 19.719645, 459.760000, 0.058000, 1342, 6115.188965, 6321.437500, 16.399566, 964.758637, 63.521806
50.278948, 19.719645, 459.740000, 0.057000, 1342, 6188.059082, 6396.767090, 16.399566, 964.762284, 64.508636
50.278948, 19.719645, 459.720000, 0.056000, 1341, 6188.059082, 6321.437500, 16.399566, 964.722168, 65.520865
50.278948, 19.719645, 459.700000, 0.055000, 1340, 6043.086914, 6321.437500, 16.412968, 964.811253, 66.495195
50.278948, 19.719645, 459.680000, 0.054000, 1341, 6115.188965, 6246.904785, 16.412968, 964.800312, 67.523434
50.278948, 19.719645, 459.670000, 0.053000, 1340, 6043.086914, 6246.904785, 16.406267, 964.715653, 68.509816
50.278948, 19.719645, 459.670000, 0.052000, 1335, 6043.086914, 6246.904785, 16.352647, 964.585401, 69.497033
50.278948, 19.719645, 459.690000, 0.051000, 1340, 6115.188965, 6246.904785, 16.412968, 964.745606, 70.530033
50.278949, 19.719646, 459.670000, 0.049000, 1340, 6043.086914, 6246.904785, 16.426369, 964.739862, 71.513915
50.278949, 19.719646, 459.650000, 0.048000, 1335, 6043.086914, 6246.904785, 16.412968, 964.727371, 72.493417
50.278949, 19.719646, 459.610000, 0.047000, 1335, 6043.086914, 6173.156250, 16.412968, 964.716430, 73.496887
50.278949, 19.719646, 459.590000, 0.044000, 1334, 6043.086914, 6173.156250, 16.433069, 964.744282, 75.495212
50.278949, 19.719647, 459.550000, 0.043000, 1335, 6043.086914, 6173.156250, 16.426369, 964.670566, 76.511129
50.278949, 19.719647, 459.530000, 0.041000, 1334, 5831.309570, 6246.904785, 16.439768, 964.763290, 77.491148
50.278949, 19.719647, 459.500000, 0.040000, 1334, 5901.154297, 6246.904785, 16.439768, 964.726818, 78.509503
50.278949, 19.719647, 459.460000, 0.038000, 1334, 5901.154297, 6100.186035, 16.439768, 964.799763, 79.514324
50.278949, 19.719647, 459.440000, 0.037000, 1334, 5971.744629, 6100.186035, 16.392864, 964.597394, 80.525555
50.278949, 19.719647, 459.420000, 0.035000, 1334, 5971.744629, 6173.156250, 16.453166, 964.768477, 81.492937
50.278949, 19.719647, 459.410000, 0.034000, 1334, 5971.744629, 6027.985840, 16.453166, 964.724708, 82.510855
50.278949, 19.719647, 459.410000, 0.032000, 1333, 5901.154297, 6027.985840, 16.466563, 964.788248, 83.525437
50.278949, 19.719647, 459.380000, 0.031000, 1333, 5901.154297, 6100.186035, 16.459865, 964.736417, 84.490497
50.278949, 19.719647, 459.360000, 0.029000, 1332, 5831.309570, 6100.186035, 16.466563, 964.737183, 85.533047
50.278949, 19.719647, 459.330000, 0.028000, 1332, 5831.309570, 6027.985840, 16.459865, 964.751007, 86.525057
50.278949, 19.719647, 459.310000, 0.027000, 1333, 5901.154297, 6100.186035, 16.479958, 964.724119, 87.489730
50.278949, 19.719647, 459.310000, 0.026000, 1332, 5901.154297, 6027.985840, 16.479958, 964.749652, 88.515003
50.278949, 19.719647, 459.310000, 0.024000, 1333, 5831.309570, 6100.186035, 16.453166, 964.651761, 89.496997
50.278948, 19.719647, 459.250000, 0.022000, 1331, 5901.154297, 5956.546875, 16.493352, 964.743878, 91.511283
50.278948, 19.719647, 459.190000, 0.022000, 1331, 5762.203125, 5956.546875, 16.500048, 964.762875, 92.512979
50.278948, 19.719647, 459.140000, 0.021000, 1332, 5762.203125, 5956.546875, 16.493352, 964.692810, 93.489957
50.278948, 19.719647, 459.110000, 0.020000, 1331, 5831.309570, 5956.546875, 16.439768, 964.548102, 94.510616
50.278948, 19.719647, 459.100000, 0.020000, 1331, 5831.309570, 5885.860840, 16.500048, 964.668033, 95.500435
50.278948, 19.719647, 459.100000, 0.020000, 1331, 5693.824707, 5956.546875, 16.520135, 964.695831, 96.502189
