lat, lon, alt, ozone, mq7, mq135_ppm, mq135_cor, bmp180_temp, bmp180_press, exectime
50.278944, 19.719703, 466.010000, 0.020000, 1440, 8476.474609, 8563.173828, 15.194261, 964.922521, 68.502243
50.278944, 19.719703, 465.940000, 0.020000, 1440, 8379.623047, 8762.364258, 15.180728, 964.956782, 69.484340
50.278943, 19.719704, 465.910000, 0.020000, 1435, 8379.623047, 8662.246094, 15.180728, 964.891315, 70.499307
50.278943, 19.719704, 465.820000, 0.020000, 1440, 8379.623047, 8863.536133, 15.261905, 965.169428, 71.488176
50.278942, 19.719705, 465.730000, 0.020000, 1435, 8379.623047, 8563.173828, 15.248379, 965.087315, 72.489405
50.278942, 19.719705, 465.670000, 0.020000, 1435, 8283.783203, 8762.364258, 15.261905, 965.136689, 73.490407
50.278942, 19.719706, 465.600000, 0.020000, 1435, 8379.623047, 8662.246094, 15.268667, 965.141367, 74.486504
50.278942, 19.719706, 465.510000, 0.020000, 1435, 8283.783203, 8662.246094, 15.268667, 965.126815, 75.491087
50.278942, 19.719706, 465.440000, 0.020000, 1435, 8379.623047, 8563.173828, 15.268667, 965.119540, 76.486166
50.278941, 19.719707, 465.330000, 0.020000, 1435, 8283.783203, 8465.137695, 15.275429, 965.131492, 77.488512
50.278941, 19.719707, 465.190000, 0.020000, 1435, 8283.783203, 8563.173828, 15.261905, 965.089398, 78.485949
50.278940, 19.719707, 465.100000, 0.020000, 1435, 8283.783203, 8662.246094, 15.261905, 965.085760, 79.509214
50.278940, 19.719707, 465.030000, 0.020000, 1435, 8379.623047, 8465.137695, 15.187495, 964.885096, 80.490917
50.278940, 19.719707, 464.970000, 0.020000, 1435, 8283.783203, 8563.173828, 15.275429, 965.193335, 81.485347
50.278940, 19.719708, 464.840000, 0.020000, 1434, 8095.097656, 8563.173828, 15.187495, 964.943290, 82.486137
50.278939, 19.719708, 464.750000, 0.020000, 1435, 8095.097656, 8368.124023, 15.194261, 964.886149, 83.490720
50.278939, 19.719709, 464.660000, 0.020000, 1434, 8002.228027, 8465.137695, 15.187495, 964.917830, 84.487368
50.278938, 19.719709, 464.580000, 0.020000, 1435, 8283.783203, 8368.124023, 15.241616, 964.998969, 85.489761
50.278938, 19.719710, 464.480000, 0.020000, 1434, 8095.097656, 8465.137695, 15.180728, 964.829485, 86.485766
50.278937, 19.719710, 464.410000, 0.020000, 1434, 8095.097656, 8368.124023, 15.228088, 964.975054, 87.489257
50.278937, 19.719711, 464.300000, 0.020000, 1433, 8095.097656, 8272.125000, 15.261905, 965.045745, 88.489746
50.278936, 19.719711, 464.230000, 0.020000, 1433, 8095.097656, 8368.124023, 15.194261, 964.860689, 89.483402
50.278935, 19.719711, 464.160000, 0.020000, 1433, 8095.097656, 8272.125000, 15.194261, 964.849777, 90.501300
50.278935, 19.719711, 464.120000, 0.020000, 1433, 8095.097656, 8272.125000, 15.228088, 964.971417, 91.489151
50.278934, 19.719712, 464.020000, 0.020000, 1433, 8002.228027, 8368.124023, 15.288952, 965.115375, 92.490343
50.278933, 19.719712, 463.940000, 0.020000, 1432, 8002.228027, 8272.125000, 15.214558, 964.918399, 93.490449
50.278933, 19.719712, 463.810000, 0.020000, 1433, 8002.228027, 8177.127930, 15.288952, 965.140840, 94.485082
50.278932, 19.719712, 463.760000, 0.020000, 1433, 7910.332520, 8368.124023, 15.221323, 964.912172, 95.482728
50.278932, 19.719712, 463.720000, 0.020000, 1432, 7910.332520, 8177.127930, 15.228088, 964.942317, 96.485694
50.278931, 19.719712, 463.640000, 0.020000, 1431, 7910.332520, 8272.125000, 15.201027, 964.905387, 97.486639
50.278930, 19.719713, 463.540000, 0.020000, 1432, 7910.332520, 8272.125000, 15.201027, 964.879926, 99.488083
50.278930, 19.719713, 463.520000, 0.020000, 1431, 7910.332520, 8177.127930, 15.282190, 965.103426, 100.493869
50.278930, 19.719713, 463.440000, 0.020000, 1431, 7910.332520, 8177.127930, 15.295712, 965.141874, 101.497200
50.278929, 19.719713, 463.380000, 0.020000, 1431, 7910.332520, 8177.127930, 15.241616, 965.002607, 103.501057
50.278929, 19.719713, 463.340000, 0.020000, 1430, 7910.332520, 8177.127930, 15.207793, 964.866428, 104.485311
50.278928, 19.719713, 463.290000, 0.020000, 1431, 7910.332520, 8177.127930, 15.282190, 965.081598, 105.491856
50.278927, 19.719713, 463.200000, 0.020000, 1432, 7819.393066, 8177.127930, 15.295712, 965.109132, 106.487075
50.278927, 19.719713, 463.230000, 0.020000, 1430, 7910.332520, 8177.127930, 15.295712, 965.145512, 107.481889
50.278926, 19.719713, 463.220000, 0.020000, 1425, 7819.393066, 8177.127930, 15.275429, 965.044184, 108.483979
50.278926, 19.719713, 463.220000, 0.020000, 1425, 7910.332520, 8177.127930, 15.282190, 965.103426, 109.484895
50.278926, 19.719713, 463.340000, 0.020000, 1425, 7910.332520, 8083.119141, 15.207793, 964.866428, 110.488743
50.278926, 19.719712, 463.460000, 0.020000, 1425, 7910.332520, 8177.127930, 15.295712, 965.105494, 111.486045
50.278925, 19.719711, 463.390000, 0.020000, 1424, 7910.332520, 8177.127930, 15.295712, 965.105494, 112.500057
50.278925, 19.719711, 463.280000, 0.020000, 1425, 7910.332520, 8083.119141, 15.207793, 964.920987, 113.488933
50.278925, 19.719711, 463.120000, 0.020000, 1424, 7910.332520, 8177.127930, 15.201027, 964.872652, 114.484409
50.278925, 19.719712, 462.890000, 0.020000, 1424, 7910.332520, 8177.127930, 15.187495, 964.859636, 115.484030
50.278925, 19.719712, 462.920000, 0.020000, 1425, 7819.393066, 8177.127930, 15.207793, 964.920987, 116.485967
50.278925, 19.719713, 462.910000, 0.020000, 1424, 7819.393066, 7990.101074, 15.201027, 964.861740, 117.484816
50.278925, 19.719714, 462.970000, 0.020000, 1425, 7729.408203, 8083.119141, 15.207793, 964.837329, 118.487340
50.278926, 19.719714, 462.930000, 0.020000, 1422, 7819.393066, 7990.101074, 15.214558, 964.856564, 119.482020
50.278925, 19.719714, 462.820000, 0.020000, 1423, 7640.362793, 8177.127930, 15.214558, 964.878388, 120.484188
50.278925, 19.719714, 462.820000, 0.020000, 1424, 7819.393066, 7990.101074, 15.288952, 965.013512, 121.485203
50.278925, 19.719715, 462.820000, 0.020000, 1423, 7640.362793, 7898.050781, 15.221323, 964.941271, 122.478608
50.278925, 19.719716, 462.770000, 0.020000, 1423, 7729.408203, 7990.101074, 15.221323, 964.912172, 123.496290
50.278924, 19.719716, 462.750000, 0.020000, 1422, 7729.408203, 8083.119141, 15.322752, 965.105975, 124.481401
