lat, lon, alt, ozone, mq7, mq135_ppm, mq135_cor, bmp180_temp, bmp180_press, exectime
50.279246, 19.719547, 556.260000, 0.432000, 1213, 3661.787354, 3785.289795, 12.588364, 953.060714, 409.508950
50.279279, 19.719678, 556.220000, 0.436000, 1212, 3615.849609, 3785.289795, 12.629852, 953.261238, 410.522069
50.279310, 19.719809, 556.250000, 0.440000, 1212, 3661.787354, 3785.289795, 12.595280, 953.293606, 411.515670
50.279377, 19.720069, 555.910000, 0.447000, 1212, 3661.787354, 3737.802979, 12.512264, 953.326269, 413.496356
50.279412, 19.720196, 556.240000, 0.451000, 1212, 3708.228271, 3737.802979, 12.470733, 953.281053, 414.492104
50.279447, 19.720323, 556.420000, 0.455000, 1211, 3661.787354, 3785.289795, 12.339119, 952.959246, 415.503700
50.279481, 19.720449, 556.650000, 0.458000, 1211, 3661.787354, 3737.802979, 12.394554, 953.224523, 416.511844
50.279516, 19.720574, 556.870000, 0.462000, 1211, 3615.849609, 3785.289795, 12.346050, 953.249886, 417.497936
50.279550, 19.720699, 557.110000, 0.466000, 1211, 3661.787354, 3737.802979, 12.235107, 952.997335, 418.493794
50.279584, 19.720826, 557.320000, 0.469000, 1212, 3570.409912, 3737.802979, 12.200415, 952.935282, 419.496740
50.279618, 19.720954, 557.590000, 0.473000, 1212, 3615.849609, 3785.289795, 12.172654, 952.965087, 420.491411
50.279652, 19.721081, 557.790000, 0.477000, 1210, 3661.787354, 3690.831787, 12.200415, 953.130360, 421.510037
50.279684, 19.721207, 557.790000, 0.480000, 1212, 3615.849609, 3737.802979, 12.151828, 953.122876, 422.508409
50.279715, 19.721330, 557.740000, 0.484000, 1211, 3615.849609, 3785.289795, 12.047644, 952.932702, 423.497846
50.279746, 19.721453, 557.530000, 0.488000, 1210, 3615.849609, 3690.831787, 12.012895, 952.993223, 424.516828
50.279778, 19.721576, 557.200000, 0.492000, 1211, 3525.465088, 3737.802979, 11.957273, 953.012680, 425.511645
50.279812, 19.721699, 557.130000, 0.497000, 1210, 3525.465088, 3644.369385, 12.019845, 953.240399, 426.503585
50.279849, 19.721822, 556.920000, 0.500000, 1210, 3525.465088, 3690.831787, 11.978135, 953.230618, 427.502182
50.279885, 19.721945, 556.640000, 0.504000, 1210, 3615.849609, 3690.831787, 11.866830, 953.088722, 428.508205
50.279921, 19.722071, 556.530000, 0.508000, 1210, 3525.465088, 3644.369385, 11.922496, 953.260805, 429.497657
50.279955, 19.722198, 556.450000, 0.512000, 1210, 3525.465088, 3644.369385, 11.797210, 953.064814, 430.506261
50.279989, 19.722325, 556.400000, 0.516000, 1210, 3525.465088, 3644.369385, 11.769349, 953.115836, 431.499446
50.280022, 19.722455, 556.240000, 0.520000, 1205, 3481.007568, 3598.412598, 11.741482, 953.098256, 432.502152
50.280057, 19.722586, 556.200000, 0.524000, 1205, 3570.409912, 3690.831787, 11.755416, 953.253212, 433.507967
50.280096, 19.722714, 556.410000, 0.529000, 1205, 3525.465088, 3644.369385, 11.678755, 953.115438, 434.498472
50.280156, 19.722823, 556.580000, 0.533000, 1205, 3525.465088, 3644.369385, 11.636918, 953.069083, 435.500857
50.280242, 19.722898, 556.950000, 0.537000, 1203, 3437.033447, 3644.369385, 11.685726, 953.207355, 436.507206
50.280346, 19.722920, 557.510000, 0.541000, 1204, 3570.409912, 3690.831787, 11.636918, 953.191755, 437.507708
50.280454, 19.722892, 557.490000, 0.545000, 1204, 3525.465088, 3644.369385, 11.622968, 953.137804, 438.483069
50.280557, 19.722813, 557.600000, 0.550000, 1205, 3525.465088, 3598.412598, 11.602041, 953.168709, 439.500761
50.280650, 19.722701, 557.340000, 0.554000, 1204, 3570.409912, 3552.956055, 11.504329, 952.974835, 440.491285
50.280731, 19.722565, 557.200000, 0.558000, 1203, 3525.465088, 3598.412598, 11.483380, 953.012863, 441.493333
50.280781, 19.722388, 557.250000, 0.561000, 1204, 3481.007568, 3598.412598, 11.455441, 952.969766, 442.507559
50.280786, 19.722187, 557.510000, 0.568000, 1203, 3481.007568, 3552.956055, 11.483380, 953.204021, 444.034250
50.280681, 19.721835, 558.150000, 0.571000, 1204, 3481.007568, 3552.956055, 11.378574, 952.939479, 445.502542
50.280605, 19.721689, 557.660000, 0.575000, 1203, 3481.007568, 3598.412598, 11.329630, 952.883716, 446.507550
50.280524, 19.721555, 557.600000, 0.578000, 1203, 3481.007568, 3552.956055, 11.399543, 953.258537, 447.489554
50.280441, 19.721426, 557.670000, 0.585000, 1202, 3481.007568, 3644.369385, 11.252676, 952.928803, 449.031398
50.280291, 19.721155, 557.490000, 0.588000, 1202, 3481.007568, 3644.369385, 11.203677, 952.952131, 450.489817
50.280226, 19.721006, 557.510000, 0.591000, 1203, 3525.465088, 3598.412598, 11.196675, 952.928680, 451.495620
50.280168, 19.720846, 557.660000, 0.594000, 1202, 3481.007568, 3552.956055, 11.252676, 953.202774, 452.500364
50.280114, 19.720681, 557.240000, 0.597000, 1202, 3481.007568, 3644.369385, 11.126635, 953.007652, 453.490226
50.279954, 19.720162, 556.240000, 0.606000, 1204, 3437.033447, 3507.994385, 11.126635, 953.313981, 456.493134
50.279857, 19.719800, 556.620000, 0.612000, 1203, 3393.539551, 3507.994385, 11.063560, 953.243226, 458.499271
50.279810, 19.719618, 556.950000, 0.615000, 1202, 3437.033447, 3552.956055, 11.056550, 953.201726, 459.490209
50.279716, 19.719252, 557.800000, 0.622000, 1202, 3437.033447, 3552.956055, 10.951339, 953.105121, 462.026947
50.279630, 19.718922, 557.700000, 0.625000, 1201, 3437.033447, 3552.956055, 10.888164, 953.055631, 463.491492
50.279570, 19.718701, 557.560000, 0.628000, 1203, 3481.007568, 3598.412598, 10.937303, 953.223819, 464.498515
50.279519, 19.718518, 557.300000, 0.630000, 1203, 3437.033447, 3552.956055, 10.916246, 953.228934, 465.496427
50.279469, 19.718333, 557.250000, 0.636000, 1201, 3437.033447, 3507.994385, 10.803874, 953.079470, 467.024459
50.279376, 19.717961, 557.420000, 0.641000, 1201, 3393.539551, 3507.994385, 10.831978, 953.202407, 469.022829
50.279235, 19.717410, 558.230000, 0.646000, 1201, 3437.033447, 3507.994385, 10.754675, 953.083948, 471.492450
50.279188, 19.717228, 558.350000, 0.651000, 1200, 3393.539551, 3552.956055, 10.740614, 953.177288, 473.021243
50.279100, 19.716865, 558.070000, 0.653000, 1201, 3350.518799, 3507.994385, 10.635099, 952.913943, 474.491328
50.279103, 19.716673, 558.070000, 0.658000, 1200, 3307.967529, 3419.537354, 10.691387, 953.113234, 476.019722
50.279531, 19.716321, 557.000000, 0.667000, 1200, 3224.255127, 3376.031006, 10.543570, 953.050193, 480.479296
50.279608, 19.716402, 556.770000, 0.671000, 1154, 3224.255127, 3376.031006, 10.592865, 953.254869, 482.016518
50.279676, 19.716940, 556.250000, 0.678000, 1154, 3265.880859, 3376.031006, 10.451964, 953.175283, 486.014956
50.279701, 19.717481, 557.360000, 0.681000, 1154, 3350.518799, 3463.522461, 10.317940, 952.981951, 490.013120
50.279765, 19.717851, 557.930000, 0.681000, 1154, 3393.539551, 3463.522461, 10.296763, 952.990186, 493.011608
50.279853, 19.718197, 558.340000, 0.680000, 1153, 3350.518799, 3419.537354, 10.282642, 953.076000, 496.010100
50.280016, 19.718789, 558.260000, 0.680000, 1154, 3307.967529, 3463.522461, 10.190815, 953.153374, 501.008690
50.280108, 19.719175, 557.130000, 0.683000, 1154, 3265.880859, 3463.522461, 10.084763, 953.129105, 504.006593
